Study_Hours,Attendance,Assignment_Score,Previous_Marks,Final_Marks,Status
11.1,54.5,73.5,97.5,98.4,1
1.1,83.7,57.0,68.3,56.4,1
2.4,58.1,52.9,26.2,44.0,1
0.5,63.6,72.1,26.0,36.0,0
3.9,73.9,63.6,96.1,73.5,1
4.7,91.2,25.0,43.8,52.3,1
3.3,98.9,61.0,27.4,57.5,1
9.9,83.8,84.5,67.9,84.5,1
4.3,59.2,56.7,69.9,61.3,1
3.4,59.5,24.2,71.9,52.7,1
6.5,81.6,82.9,41.4,70.1,1
1.7,46.7,36.1,21.2,30.3,0
9.6,37.7,40.7,97.2,76.3,1
0.9,54.8,33.2,40.1,31.8,0
11.8,50.1,46.4,74.1,81.3,1
9.3,50.7,80.5,76.5,82.1,1
2.4,46.4,61.6,68.8,52.1,1
0.1,32.9,36.4,45.0,28.3,0
9.8,31.3,90.2,41.7,67.6,1
8.5,99.1,90.4,67.8,90.7,1
8.7,59.9,89.6,89.3,95.3,1
9.3,56.9,39.1,95.7,77.5,1
0.9,77.6,56.1,28.5,41.1,1
4.3,45.3,98.8,32.4,61.5,1
1.4,96.5,81.8,95.6,76.3,1
10.4,85.0,22.2,78.9,76.7,1
7.5,36.3,25.2,90.6,68.8,1
4.0,59.2,57.1,36.2,48.5,1
0.8,91.5,92.7,67.0,77.0,1
3.7,96.1,63.1,76.1,67.5,1
3.9,62.7,59.8,74.4,63.8,1
8.8,72.9,28.4,52.7,62.5,1
7.7,41.7,72.5,21.2,57.0,1
10.6,99.4,85.8,66.6,96.3,1
5.7,46.2,50.4,40.2,48.5,1
1.4,96.0,82.0,56.0,64.3,1
8.6,75.5,97.2,96.6,95.4,1
9.1,72.5,36.3,51.9,67.1,1
6.7,65.9,61.9,87.2,79.1,1
9.3,46.1,43.0,35.1,58.9,1
5.9,42.4,83.4,73.8,71.3,1
6.3,45.4,66.2,98.2,78.2,1
5.1,43.1,70.8,28.2,50.0,1
0.3,84.6,83.8,20.7,42.8,1
1.3,54.5,51.7,54.7,42.2,1
0.4,34.0,93.2,27.4,45.4,1
7.6,97.8,62.6,79.9,87.9,1
3.8,91.9,32.6,93.2,71.8,1
6.1,94.9,75.7,54.7,75.1,1
10.9,99.6,83.5,40.7,85.3,1
3.0,42.2,45.3,54.8,47.8,1
4.9,57.7,88.6,77.9,73.0,1
9.1,83.1,92.5,20.7,80.1,1
2.7,78.7,42.2,67.2,52.2,1
0.9,40.8,98.7,69.1,58.3,1
3.5,87.1,31.3,71.0,57.2,1
1.9,45.7,36.2,39.4,37.2,0
11.2,45.7,34.7,77.1,72.8,1
9.7,67.6,91.5,27.3,73.5,1
7.6,71.5,72.3,35.9,67.4,1
10.5,70.6,32.2,90.2,85.4,1
9.6,36.4,55.2,79.1,70.5,1
2.2,91.4,69.2,21.1,54.8,1
10.7,48.6,26.7,39.9,62.3,1
6.5,39.1,90.6,37.2,63.7,1
9.7,92.2,84.3,41.7,83.3,1
10.8,96.9,60.4,39.8,82.0,1
3.8,90.3,97.4,25.0,64.8,1
1.3,86.7,53.4,56.7,51.6,1
2.7,75.9,98.7,78.6,69.0,1
5.1,68.6,73.4,68.5,69.7,1
9.8,36.1,70.8,73.8,71.6,1
10.3,58.6,33.3,26.5,61.7,1
0.1,56.1,90.6,96.1,69.1,1
6.1,48.2,54.2,87.1,70.6,1
5.0,80.6,33.0,84.4,62.7,1
2.7,64.7,21.0,85.8,55.0,1
1.4,35.7,64.8,94.6,63.4,1
4.1,45.4,62.2,63.5,49.2,1
11.3,77.8,77.5,36.0,81.8,1
3.9,35.3,91.2,69.3,65.8,1
6.2,89.6,26.4,79.4,63.4,1
8.4,64.7,78.5,79.0,78.0,1
4.4,63.6,35.0,61.7,56.8,1
11.7,71.5,88.7,25.5,75.6,1
11.5,87.7,85.5,49.7,84.4,1
3.0,54.3,63.3,93.7,70.4,1
6.0,77.5,76.8,66.8,72.9,1
3.6,69.6,45.1,63.1,52.3,1
3.4,48.7,57.7,41.5,47.1,1
0.4,91.5,85.7,49.5,56.3,1
7.3,85.8,56.7,91.6,86.8,1
6.0,76.1,48.6,73.3,69.5,1
0.6,89.5,59.5,83.0,60.8,1
3.3,90.7,86.3,56.3,70.2,1
10.9,79.6,46.8,70.4,84.8,1
2.9,88.6,33.9,39.9,46.5,1
1.7,78.8,77.0,76.4,60.0,1
5.9,77.6,86.1,54.2,71.5,1
11.8,73.3,28.1,55.4,77.8,1
2.9,82.7,39.2,71.9,53.8,1
8.1,41.1,31.4,94.9,71.0,1
9.1,91.7,47.8,25.1,68.4,1
2.9,91.0,56.0,86.0,73.1,1
8.7,32.0,79.9,43.4,62.3,1
4.4,87.8,72.1,55.5,67.8,1
7.6,39.0,69.7,21.8,59.6,1
7.6,53.5,48.2,44.1,58.5,1
6.4,82.0,87.3,60.2,72.7,1
1.1,41.3,57.7,24.5,29.3,0
10.0,87.3,98.3,59.3,92.5,1
3.8,88.2,70.7,94.2,81.5,1
2.2,65.5,30.1,28.4,36.8,0
0.5,30.4,74.1,81.2,50.4,1
7.1,50.1,46.0,52.8,56.4,1
8.1,73.2,74.9,72.4,75.9,1
0.2,98.7,25.6,40.8,44.0,1
6.1,74.2,34.0,32.8,53.3,1
2.7,48.2,88.5,32.8,45.6,1
7.7,74.4,38.2,25.6,58.5,1
2.1,67.8,87.0,34.9,53.3,1
8.3,84.6,42.3,73.1,77.0,1
4.6,37.5,71.4,90.5,66.6,1
11.2,83.3,75.5,85.1,94.3,1
1.7,67.9,61.0,74.8,55.7,1
4.1,97.4,44.4,28.8,55.4,1
1.4,53.9,37.0,43.1,41.4,1
11.1,74.3,22.7,44.8,67.9,1
10.5,95.2,44.3,40.0,75.1,1
3.1,37.2,72.3,61.2,50.3,1
7.9,95.6,95.1,62.8,93.8,1
9.8,78.2,89.7,48.6,78.6,1
6.7,34.7,81.3,48.3,65.2,1
6.4,51.1,83.1,86.3,78.6,1
2.9,79.6,73.2,83.1,71.6,1
1.1,34.7,40.8,44.6,35.5,0
10.8,70.8,92.6,93.1,99.7,1
10.8,54.2,73.7,96.2,92.2,1
7.6,73.5,64.8,46.1,65.9,1
4.1,33.2,28.9,48.4,41.2,1
4.2,91.0,55.8,60.5,65.6,1
8.7,98.1,56.8,95.3,93.2,1
10.8,97.8,89.2,90.1,99.6,1
10.6,82.5,63.7,28.2,72.0,1
9.4,39.1,50.4,51.4,57.7,1
7.7,83.1,98.1,64.3,86.9,1
1.0,31.7,28.9,60.3,32.1,0
1.9,31.5,53.8,35.5,33.2,0
10.8,52.7,23.4,88.7,74.0,1
7.3,64.2,79.2,74.2,71.5,1
0.1,83.9,93.4,87.0,70.2,1
1.2,77.8,42.4,88.7,58.5,1
8.0,61.2,88.7,79.9,86.3,1
0.1,49.2,43.4,55.1,36.1,0
1.9,99.8,92.9,68.8,75.9,1
6.6,59.8,80.3,32.8,62.0,1
8.3,61.6,84.4,73.9,80.0,1
7.8,41.5,21.4,34.3,46.4,1
2.7,85.6,97.0,75.5,71.9,1
8.5,78.6,78.1,38.4,75.2,1
2.8,45.5,44.4,29.4,41.8,1
3.9,35.8,86.4,33.2,45.8,1
9.0,77.6,42.5,20.2,55.6,1
7.8,75.8,89.8,77.5,82.8,1
10.2,49.1,29.0,78.6,67.8,1
7.9,96.6,76.3,61.2,83.9,1
6.8,40.6,63.3,32.9,51.8,1
1.1,60.3,27.7,26.7,35.7,0
4.4,96.1,39.4,21.5,54.3,1
3.2,59.4,21.0,33.3,36.9,0
2.9,74.7,57.5,91.3,71.8,1
11.7,57.8,44.1,39.3,71.0,1
4.7,49.2,67.9,48.3,53.6,1
10.7,98.9,43.8,28.4,71.3,1
7.6,58.7,44.0,37.8,56.2,1
9.5,92.6,79.5,61.5,89.7,1
6.0,46.1,23.9,68.6,53.6,1
6.9,44.9,92.2,39.6,63.1,1
5.9,32.2,88.2,24.6,51.0,1
2.3,75.6,73.4,51.3,55.5,1
8.7,55.8,67.5,38.7,64.6,1
3.4,90.5,91.4,37.6,72.9,1
0.3,63.1,34.8,96.8,51.7,1
7.7,97.8,26.3,69.3,73.7,1
2.1,43.0,39.2,64.6,47.6,1
11.3,90.8,83.6,53.3,96.4,1
11.4,84.4,22.8,54.3,71.0,1
11.0,84.0,66.6,63.3,85.5,1
4.4,89.1,99.6,75.7,82.8,1
0.2,83.3,88.5,76.2,62.6,1
11.1,73.8,61.7,33.7,72.4,1
5.1,39.2,25.1,60.0,48.1,1
11.6,32.3,86.5,53.0,71.3,1
11.6,94.5,67.9,89.6,100.0,1
10.2,73.2,29.2,70.5,73.1,1
3.5,85.8,27.5,62.6,52.5,1
4.6,63.7,92.8,29.2,66.2,1
10.2,38.2,73.5,68.5,74.5,1
3.8,38.8,86.3,29.4,48.2,1
2.0,78.0,90.3,47.0,66.1,1
6.7,60.1,65.7,31.4,55.2,1
11.2,44.0,61.4,75.4,78.0,1
8.4,64.4,54.4,36.5,61.3,1
6.8,34.5,45.4,51.3,55.6,1
1.2,70.7,54.8,91.7,63.2,1
7.4,48.8,81.9,36.3,59.3,1
11.9,85.8,68.2,60.6,85.5,1
1.7,51.7,91.4,53.5,55.6,1
6.2,61.9,55.5,21.4,50.5,1
10.5,30.8,68.6,83.4,79.9,1
8.9,35.1,70.5,25.5,59.1,1
8.4,57.5,67.3,57.9,65.5,1
8.4,63.6,76.2,64.9,78.3,1
4.3,72.0,39.0,70.3,58.4,1
3.5,50.4,61.0,75.1,61.5,1
9.7,78.6,28.3,40.3,64.2,1
9.7,90.2,50.8,20.8,70.9,1
10.4,84.6,59.0,77.9,86.4,1
11.0,32.8,72.2,62.9,78.6,1
6.1,63.6,96.0,86.9,88.9,1
6.0,37.3,68.1,85.7,71.4,1
9.6,46.9,79.5,87.5,93.0,1
7.8,99.1,60.5,58.8,80.4,1
8.4,40.0,70.7,46.7,65.5,1
9.5,64.9,25.7,83.3,68.9,1
10.7,73.3,40.4,56.1,69.3,1
4.1,79.2,48.9,34.7,51.0,1
4.5,69.2,57.8,88.4,72.2,1
1.1,30.7,23.7,90.6,45.0,1
6.9,52.9,31.2,57.3,56.0,1
0.4,66.2,42.1,26.1,36.8,0
5.6,36.2,97.7,51.0,67.9,1
6.5,54.5,46.5,84.3,63.9,1
3.4,32.3,58.6,92.1,62.4,1
7.1,35.5,35.7,36.3,45.5,1
0.4,57.8,68.9,25.4,36.5,0
0.4,39.3,42.5,90.2,49.8,1
9.9,69.7,36.6,51.2,65.9,1
4.3,78.3,61.3,63.3,59.4,1
1.5,86.0,20.4,97.4,59.7,1
6.3,44.0,20.6,25.3,38.3,0
9.2,41.7,37.5,71.9,58.8,1
2.6,37.3,22.9,25.9,33.6,0
7.5,74.6,28.6,50.0,61.5,1
1.0,79.5,47.1,84.3,55.0,1
0.6,32.2,84.2,54.7,45.7,1
6.4,95.5,65.8,99.8,88.0,1
6.5,33.6,61.0,64.7,64.5,1
7.6,67.9,43.5,45.7,65.1,1
8.7,79.6,94.5,37.6,79.5,1
11.7,91.0,51.8,48.0,85.1,1
6.2,80.0,27.0,49.8,56.1,1
3.9,86.1,69.4,25.5,50.1,1
9.5,53.8,29.1,49.6,59.5,1
3.2,87.0,47.6,57.1,56.2,1
5.3,35.6,60.6,77.8,59.8,1
0.9,92.6,89.9,72.5,68.0,1
0.3,68.3,59.5,76.7,52.2,1
11.6,87.2,76.2,20.7,76.0,1
10.0,61.7,99.4,37.4,80.6,1
8.4,75.1,30.5,72.9,66.1,1
4.9,66.8,42.0,58.7,53.9,1
2.1,81.2,51.6,20.4,38.1,0
1.9,35.7,53.7,84.4,53.8,1
3.0,34.2,52.9,81.8,48.1,1
6.6,47.3,92.6,63.9,76.8,1
8.6,41.2,77.1,25.3,63.4,1
7.9,91.0,68.6,81.3,85.0,1
3.4,45.3,44.7,66.7,43.5,1
11.5,98.3,85.9,82.6,99.1,1
8.9,53.6,96.4,80.1,87.4,1
6.7,42.7,85.7,84.2,72.0,1
7.3,85.3,20.1,61.4,60.5,1
5.0,76.1,70.9,31.2,60.7,1
3.0,64.9,24.1,73.7,51.4,1
4.3,68.9,40.6,69.6,54.9,1
9.1,80.3,24.8,79.4,68.5,1
0.2,46.0,68.3,33.6,36.0,0
1.4,99.7,74.9,35.6,55.9,1
0.6,98.2,29.2,91.2,64.1,1
0.5,75.5,50.7,80.0,51.9,1
10.3,44.0,56.5,92.7,85.8,1
8.4,77.6,49.5,80.7,81.4,1
5.7,35.1,29.7,67.8,53.3,1
1.2,32.1,53.5,72.3,44.8,1
5.9,48.0,80.1,91.1,77.6,1
5.7,62.4,25.7,66.3,54.4,1
2.1,90.8,26.4,70.6,57.9,1
5.2,80.9,48.4,32.5,51.6,1
4.8,82.0,95.3,57.9,74.6,1
7.4,59.8,73.5,77.3,75.1,1
7.6,54.2,74.3,41.7,62.8,1
0.5,56.0,49.0,36.2,32.4,0
4.5,99.1,67.5,45.1,67.1,1
7.5,32.8,20.8,39.3,45.2,1
6.0,90.7,70.9,37.2,68.8,1
10.3,70.5,93.1,54.0,85.0,1
7.9,60.7,69.0,92.6,87.2,1
2.0,80.8,89.9,60.6,60.3,1
0.8,64.1,77.9,35.0,49.5,1
7.7,91.1,29.6,26.2,54.5,1
0.3,93.0,92.2,75.7,72.4,1
7.0,59.5,25.3,50.6,55.0,1
11.3,49.4,62.7,85.7,86.0,1
6.9,71.5,31.4,72.8,65.1,1
4.7,93.9,20.9,83.7,68.8,1
7.7,44.7,53.8,41.8,51.8,1
5.5,73.6,43.6,75.4,65.4,1
6.5,74.2,58.9,41.1,54.7,1
11.3,81.3,66.2,95.1,95.7,1
4.6,39.2,23.5,70.9,52.5,1
11.5,80.1,29.8,46.0,69.3,1
10.9,93.6,64.7,41.6,78.9,1
2.3,42.6,47.5,35.3,37.3,0
0.8,46.6,78.3,75.6,59.2,1
1.2,98.0,72.2,37.5,50.8,1
0.2,42.7,87.6,67.6,48.7,1
1.1,89.8,75.4,41.2,56.2,1
8.2,64.5,54.4,73.0,76.8,1
0.9,47.3,73.8,85.2,59.7,1
3.8,91.0,42.0,82.2,64.4,1
10.1,61.2,44.5,80.9,82.3,1
0.3,66.0,83.1,35.0,49.3,1
9.8,55.1,55.7,27.1,63.1,1
3.4,71.5,83.9,75.9,65.8,1
1.4,41.4,85.8,49.5,48.6,1
8.4,57.4,88.6,54.6,73.8,1
7.5,97.9,93.3,22.5,78.4,1
10.5,48.1,54.5,40.8,69.6,1
8.8,76.0,45.5,22.7,61.2,1
9.6,52.8,66.6,90.3,83.6,1
3.4,84.1,49.7,39.5,54.3,1
2.1,39.2,68.1,64.6,51.2,1
9.0,97.9,76.4,23.1,76.5,1
9.7,61.8,75.1,73.3,84.9,1
11.9,46.5,50.0,45.8,67.2,1
5.0,35.1,33.3,91.8,61.2,1
4.5,41.9,54.4,91.0,64.9,1
9.3,66.4,31.4,46.0,58.0,1
4.1,53.6,91.2,92.1,80.9,1
11.2,88.0,47.7,99.7,100.0,1
10.3,60.2,32.4,86.0,75.2,1
5.1,47.4,22.0,87.6,60.1,1
9.0,73.2,71.7,39.9,72.3,1
9.1,79.5,71.0,66.1,80.0,1
1.2,41.7,47.2,25.4,31.1,0
10.8,41.7,25.7,27.6,51.2,1
6.1,32.6,52.8,99.9,71.8,1
9.9,81.5,44.9,46.1,68.2,1
3.8,76.5,74.2,79.9,63.5,1
10.7,63.2,68.5,84.5,89.3,1
4.7,89.1,49.2,88.6,76.6,1
0.1,86.4,37.4,99.8,61.1,1
10.9,71.0,99.0,39.3,85.8,1
1.1,90.8,56.3,23.2,48.1,1
3.8,44.4,75.1,52.9,55.2,1
11.4,37.8,31.2,30.4,59.8,1
11.4,48.9,58.8,21.8,63.4,1
6.9,34.0,22.2,48.8,50.2,1
7.6,67.2,60.4,82.7,76.1,1
5.4,95.6,97.1,65.3,85.1,1
3.5,32.8,50.7,45.0,39.8,0
3.9,38.5,23.1,72.3,47.3,1
8.1,61.7,22.5,38.6,50.8,1
9.0,95.4,51.0,21.2,65.8,1
9.5,52.1,32.8,81.1,68.5,1
9.5,65.5,21.9,69.9,64.4,1
1.1,32.9,80.5,81.0,59.5,1
5.9,40.4,56.7,23.1,49.7,1
0.7,99.1,43.1,87.0,70.5,1
6.6,97.6,92.0,69.6,85.4,1
5.3,30.3,29.3,65.1,48.5,1
10.7,96.6,96.5,70.0,96.8,1
4.2,74.7,45.1,89.2,67.4,1
1.4,90.8,91.1,67.0,68.8,1
1.7,61.8,68.2,66.5,57.4,1
9.1,66.1,86.1,99.3,94.0,1
7.4,64.2,98.7,80.5,88.9,1
1.2,76.7,43.1,55.4,47.7,1
1.0,39.8,96.9,76.6,66.8,1
8.4,32.1,51.2,51.1,55.2,1
0.9,51.6,50.8,38.3,40.2,1
9.9,79.3,47.2,67.7,79.5,1
8.5,44.1,63.3,94.3,79.1,1
1.0,77.1,32.3,94.3,61.2,1
1.0,97.9,64.3,47.4,56.7,1
11.8,36.6,63.3,62.2,75.6,1
4.5,77.1,81.0,36.9,57.7,1
4.4,61.1,86.7,99.7,78.9,1
9.8,90.8,55.2,98.5,100.0,1
11.4,42.4,44.2,72.0,74.1,1
11.8,78.5,40.7,84.4,87.5,1
9.0,88.7,35.6,77.2,74.0,1
4.5,96.1,24.6,67.5,59.8,1
1.0,77.8,47.4,24.3,40.3,1
9.3,64.8,41.6,56.4,64.0,1
6.7,73.2,97.3,74.0,82.6,1
5.1,90.8,64.6,74.2,74.4,1
10.9,69.9,47.8,49.8,72.7,1
1.3,32.1,66.4,95.3,59.1,1
5.9,95.2,31.1,33.4,58.0,1
0.1,78.3,55.5,60.0,49.7,1
5.6,77.4,70.1,75.3,73.7,1
0.7,45.1,59.1,75.8,46.0,1
1.4,76.1,52.1,71.9,53.3,1
1.4,57.6,99.5,42.0,59.1,1
7.8,75.6,90.4,32.5,75.3,1
9.0,37.5,69.9,70.9,68.8,1
7.0,76.0,65.6,67.9,73.2,1
11.5,100.0,69.7,34.3,79.2,1
4.5,33.4,36.1,76.4,51.8,1
3.4,98.4,51.6,56.4,67.2,1
10.4,58.5,23.2,73.4,67.4,1
2.7,91.0,58.0,87.0,71.5,1
11.6,84.8,63.4,33.6,78.3,1
0.1,69.7,38.2,21.5,26.5,0
11.6,81.7,97.1,82.3,98.4,1
0.5,91.5,92.8,68.8,71.1,1
10.7,58.3,77.8,76.0,83.3,1
6.3,52.9,62.7,87.1,74.1,1
11.9,76.7,89.6,84.2,99.4,1
0.9,86.5,30.5,96.9,61.6,1
6.6,83.4,83.2,62.9,76.3,1
11.6,85.8,30.0,59.1,75.3,1
6.3,60.5,83.5,52.2,67.8,1
7.6,87.2,42.1,32.3,59.2,1
8.3,38.4,90.2,65.8,78.3,1
5.5,68.1,95.5,42.2,67.7,1
7.5,30.4,31.9,93.7,67.6,1
7.0,52.7,57.0,66.7,62.7,1
10.8,55.7,98.5,67.4,90.3,1
0.5,57.7,58.7,48.4,40.3,1
3.4,78.7,89.1,24.2,52.2,1
11.4,57.2,67.1,22.5,68.7,1
10.7,61.4,50.0,53.9,72.5,1
5.5,46.6,42.9,26.8,45.9,1
7.4,56.1,36.3,68.5,61.4,1
3.3,45.9,80.9,90.5,71.2,1
2.3,35.1,50.9,90.6,58.9,1
5.6,72.2,60.9,72.7,68.7,1
4.2,76.8,59.4,36.9,51.5,1
7.0,73.4,66.2,89.0,82.6,1
0.9,62.4,89.2,90.9,69.7,1
11.7,56.6,98.5,35.7,83.6,1
11.8,90.4,52.6,79.0,87.0,1
8.4,66.3,86.2,42.9,72.4,1
6.4,63.5,81.2,84.2,82.4,1
3.7,31.8,65.9,99.8,66.6,1
9.8,53.9,96.5,22.4,71.1,1
8.2,56.6,36.0,91.8,76.6,1
2.0,57.9,28.7,69.8,46.2,1
10.9,70.6,88.3,97.9,100.0,1
9.9,67.4,55.1,57.2,69.9,1
11.4,72.6,87.8,87.8,100.0,1
8.7,83.5,91.4,25.0,76.8,1
7.4,86.9,25.0,46.8,58.7,1
5.0,80.3,90.7,25.4,64.7,1
11.2,96.9,55.9,98.0,100.0,1
10.4,31.3,60.8,85.4,83.4,1
0.5,43.7,70.1,88.2,55.4,1
0.3,30.5,94.1,95.0,68.1,1
4.5,75.3,21.5,26.8,41.4,1
9.7,92.9,58.1,50.8,79.8,1
11.8,47.0,75.0,25.7,70.4,1
1.8,94.9,77.8,36.9,57.4,1
7.1,34.2,75.4,38.3,60.9,1
4.6,95.4,30.8,57.5,60.1,1
11.6,54.6,44.0,41.5,65.3,1
10.1,37.1,48.7,28.1,56.3,1
10.1,64.0,84.4,33.4,73.5,1
5.6,48.0,42.3,31.8,49.1,1
5.0,49.9,36.9,97.8,68.5,1
3.3,51.5,96.6,80.7,69.1,1
0.7,86.2,20.7,97.4,63.8,1
10.4,67.7,99.8,55.2,88.8,1
9.8,51.8,74.1,42.3,73.1,1
12.0,72.7,86.3,83.9,95.7,1
12.0,80.1,43.6,46.1,76.8,1
6.7,49.1,21.1,44.0,49.7,1
9.2,58.9,79.0,38.6,72.9,1
11.3,38.5,86.7,30.4,74.0,1
10.2,42.7,79.2,40.5,72.2,1
3.0,77.7,31.4,48.4,45.7,1
5.4,42.7,80.3,73.9,65.0,1
1.5,66.8,81.5,25.0,46.6,1
11.4,79.6,72.7,36.8,80.7,1
7.3,37.5,81.3,84.7,73.8,1
2.7,69.7,87.7,31.8,56.0,1
8.1,48.0,69.1,47.4,68.1,1
7.4,97.4,27.1,89.2,79.2,1
4.3,63.8,59.0,32.4,47.6,1
1.4,86.4,26.2,26.6,35.4,0
8.1,68.5,52.6,58.8,68.6,1
6.2,33.0,52.6,44.2,49.8,1
9.3,74.3,25.3,65.1,71.0,1
6.2,96.6,47.9,84.3,78.7,1
10.2,72.1,28.9,31.0,60.7,1
6.6,87.3,84.7,66.5,74.2,1
6.7,91.9,95.8,60.4,82.7,1
10.5,46.0,25.8,31.5,56.3,1
4.8,44.8,96.4,69.9,65.8,1
1.6,72.8,61.8,41.9,49.8,1
0.3,58.8,44.0,59.0,41.1,1
9.1,88.8,26.1,26.6,66.7,1
7.4,93.0,60.0,56.8,81.0,1
8.4,54.7,83.6,44.5,69.2,1
2.6,46.6,76.6,85.8,65.3,1
1.6,84.6,24.0,24.6,37.5,0
0.2,49.2,25.8,53.5,37.1,0
4.2,87.6,52.2,56.7,55.7,1
7.1,59.7,43.6,78.0,62.3,1
4.7,76.7,38.6,65.9,56.9,1
5.2,36.7,42.5,73.4,56.7,1
10.8,73.7,84.3,82.2,93.2,1
4.2,61.6,94.3,89.0,84.4,1
6.2,71.1,52.4,45.1,55.7,1
9.4,41.8,92.5,63.0,74.9,1
4.8,81.6,45.7,87.2,73.9,1
7.5,90.4,58.1,99.2,88.9,1
10.3,45.2,38.1,91.2,74.9,1
11.4,36.7,71.2,49.7,73.5,1
1.8,31.7,98.3,35.6,51.7,1
11.1,74.9,68.3,59.2,81.7,1
5.9,72.5,48.6,79.3,66.4,1
3.1,68.3,71.8,59.4,58.0,1
5.5,46.2,29.8,58.7,49.4,1
11.8,57.4,91.1,87.1,96.6,1
5.9,71.6,60.2,48.9,59.4,1
3.9,64.8,55.9,88.8,70.3,1
7.6,99.1,66.9,52.5,78.2,1
2.9,39.6,70.0,46.3,48.1,1
0.9,78.7,25.7,56.3,39.2,0
1.5,58.3,74.6,81.0,58.6,1
1.5,60.0,39.4,30.1,29.9,0
1.8,80.2,77.1,35.7,51.8,1
1.7,78.5,85.8,96.1,78.4,1
7.7,99.4,84.3,34.0,72.8,1
2.2,39.0,64.2,65.4,48.3,1
4.1,37.3,61.6,66.3,55.6,1
10.8,80.7,31.4,59.2,76.1,1
5.7,70.5,82.0,71.6,71.5,1
8.0,49.2,41.7,38.4,53.3,1
2.1,35.6,59.7,64.2,42.4,1
2.3,36.0,42.7,49.8,39.8,0
0.5,92.6,30.7,72.9,57.6,1
2.0,43.4,70.4,31.3,42.2,1
3.3,52.6,24.3,65.7,46.0,1
2.1,45.9,79.9,34.8,46.6,1
1.1,54.8,45.4,42.3,38.1,0
1.4,34.9,20.0,37.5,25.4,0
5.5,66.3,60.9,34.6,57.0,1
2.5,34.7,23.7,86.1,50.4,1
4.4,86.0,42.1,42.9,53.3,1
6.0,46.4,76.6,94.2,75.7,1
8.3,67.8,25.0,97.6,80.4,1
0.5,91.6,87.1,65.7,65.8,1
9.6,75.6,20.3,31.4,56.1,1
7.5,67.3,39.7,50.0,62.7,1
1.0,52.7,79.3,83.8,57.1,1
10.5,53.3,45.3,49.4,65.3,1
11.1,76.9,28.2,27.0,60.6,1
0.7,99.6,48.8,64.5,52.2,1
3.3,76.3,41.6,87.6,66.8,1
9.7,69.0,87.4,83.7,84.2,1
9.0,81.1,45.1,34.0,60.7,1
2.2,62.6,83.1,73.8,56.7,1
2.5,34.2,91.3,37.6,51.0,1
4.4,69.4,54.7,37.5,51.3,1
5.8,97.0,92.8,89.9,95.6,1
7.4,42.3,50.2,40.0,51.9,1
4.4,78.3,97.1,41.1,65.2,1
5.6,44.1,27.1,20.1,38.9,0
9.0,67.5,75.0,89.7,87.8,1
0.4,36.8,59.5,83.4,49.3,1
3.0,61.5,51.0,70.2,52.7,1
8.6,82.9,70.6,80.0,83.5,1
10.7,54.3,76.3,32.2,74.0,1
